,Compound Score,Negative Score,Neutral Score,Postive Score,Restaurant
0,0.20633333333333334,0.024999999999999998,0.8623333333333334,0.11266666666666668,Slapfish
1,0.17326666666666668,0.10933333333333334,0.746,0.1446666666666667,Asian Box
2,0.0,0.043666666666666666,0.9123333333333333,0.043666666666666666,The Stand
3,0.7253333333333334,0.0,0.797,0.20299999999999999,Le Diplomate Cafe
4,0.40843333333333326,0.04466666666666667,0.8163333333333332,0.13899999999999998,Hen House Grill
5,0.5316333333333333,0.04699999999999999,0.735,0.21833333333333335,Mendocino Farms
6,0.7253333333333334,0.021333333333333333,0.7586666666666666,0.22033333333333335,Thai Style
7,0.5946333333333333,0.014,0.8370000000000001,0.14933333333333332,Bosscat Kitchen and Libations
8,0.38400000000000006,0.041666666666666664,0.819,0.13933333333333334,North Italia
9,0.7133333333333334,0.022000000000000002,0.7196666666666668,0.25833333333333336,Spoleto
